amount_tsh,gps_height,longitude,latitude,basin,population,public_meeting,scheme_management,permit,construction_year,extraction_type,extraction_type_class,management_group,payment_type,water_quality,quality_group,quantity,source,source_class,waterpoint_type
20.0,-18,38.89801445,-6.43970554,Wami / Ruvu,80,True,WUG,False,1978,nira/tanira,handpump,user-group,per bucket,soft,good,enough,shallow well,groundwater,hand pump
0.0,0,33.76529213,-9.51335921,Lake Nyasa,0,True,VWC,True,0,nira/tanira,handpump,user-group,never pay,soft,good,enough,hand dtw,groundwater,hand pump
0.0,0,0.0,-2e-08,Lake Victoria,0,True,VWC,True,0,nira/tanira,handpump,user-group,never pay,soft,good,insufficient,shallow well,groundwater,hand pump
50.0,18,39.19040498,-6.89049657,Wami / Ruvu,200,,WUG,False,2000,submersible,submersible,user-group,per bucket,soft,good,enough,machine dbh,groundwater,communal standpipe
0.0,1000,35.54935461,-10.64177468,Lake Nyasa,350,True,VWC,True,1999,india mark ii,handpump,user-group,on failure,soft,good,dry,shallow well,groundwater,hand pump
500.0,1767,34.67622346,-9.1680131,Rufiji,45,True,WUA,True,2009,gravity,gravity,user-group,monthly,soft,good,enough,spring,groundwater,communal standpipe
0.0,0,34.15059204,-3.10189559,Lake Victoria,0,True,WUG,True,0,nira/tanira,handpump,user-group,never pay,soft,good,insufficient,shallow well,groundwater,hand pump
0.0,2334,34.0976408,-9.21827626,Lake Nyasa,0,True,VWC,False,1978,gravity,gravity,user-group,never pay,soft,good,enough,spring,groundwater,communal standpipe
0.0,283,36.05830247,-8.36597692,Rufiji,60,True,VWC,True,2008,gravity,gravity,user-group,never pay,soft,good,insufficient,shallow well,groundwater,hand pump
0.0,0,32.95466077,-4.58671641,Lake Tanganyika,0,False,WUG,False,0,afridev,handpump,user-group,never pay,soft,good,enough,machine dbh,groundwater,hand pump
500.0,1385,34.644424,-8.82580484,Rufiji,117,True,WUA,True,1987,gravity,gravity,user-group,monthly,soft,good,enough,river,surface,communal standpipe
0.0,1564,34.66961246,-4.98151095,Internal,200,True,VWC,True,1991,nira/tanira,handpump,user-group,never pay,soft,good,insufficient,shallow well,groundwater,hand pump
0.0,1061,31.10530751,-4.99343286,Lake Tanganyika,245,True,VWC,True,2012,nira/tanira,handpump,user-group,unknown,soft,good,insufficient,shallow well,groundwater,hand pump
2000.0,1065,31.34314578,-6.4333828,Lake Rukwa,240,True,VWC,True,1993,india mark ii,handpump,user-group,annually,soft,good,enough,machine dbh,groundwater,hand pump
0.0,0,31.72260922,-1.66309037,Lake Victoria,0,True,VWC,True,0,gravity,gravity,user-group,never pay,soft,good,enough,spring,groundwater,improved spring
0.0,0,33.72447784,-3.64761938,Internal,0,True,WUG,False,0,nira/tanira,handpump,user-group,unknown,salty,salty,enough,shallow well,groundwater,hand pump
0.0,0,31.46679987,-1.27566475,Lake Victoria,0,True,VWC,True,0,nira/tanira,handpump,user-group,never pay,soft,good,enough,shallow well,groundwater,hand pump
0.0,848,35.18056328,-5.87024621,Internal,350,True,,False,1992,nira/tanira,handpump,user-group,never pay,soft,good,enough,shallow well,groundwater,hand pump
0.0,1466,35.39783470000001,-3.78306748,Internal,295,True,VWC,True,1997,other,other,user-group,never pay,salty,salty,enough,spring,groundwater,improved spring
0.0,0,32.67472831,-3.50138848,Lake Victoria,0,True,,True,0,gravity,gravity,unknown,unknown,unknown,unknown,unknown,lake,surface,other
0.0,62,39.11576035,-7.15830632,Wami / Ruvu,1000,True,VWC,False,2002,other,other,user-group,never pay,soft,good,enough,machine dbh,groundwater,other
0.0,916,36.91849423,-3.55972217,Pangani,120,True,VWC,True,1974,gravity,gravity,user-group,unknown,soft,good,insufficient,spring,groundwater,communal standpipe multiple
0.0,436,34.60709816,-10.55015427,Lake Nyasa,160,False,VWC,True,1994,gravity,gravity,parastatal,never pay,soft,good,enough,spring,groundwater,communal standpipe
0.0,-1,39.5990544,-10.02726503,Ruvuma / Southern Coast,250,True,,True,1998,other,other,user-group,unknown,salty,salty,insufficient,spring,groundwater,improved spring
500.0,891,36.64093787,-6.8358968,Wami / Ruvu,580,True,VWC,True,1982,swn 80,handpump,user-group,on failure,soft,good,enough,shallow well,groundwater,hand pump
0.0,0,32.61036545,-2.74569194,Lake Victoria,0,True,VWC,True,0,nira/tanira,handpump,user-group,never pay,salty,salty,enough,shallow well,groundwater,hand pump
500.0,255,36.66303171,-8.13972918,Rufiji,200,True,,True,2002,swn 80,handpump,user-group,monthly,soft,good,insufficient,shallow well,groundwater,hand pump
0.0,309,38.17190498,-11.04541718,Ruvuma / Southern Coast,53,True,VWC,True,1978,other,other,user-group,never pay,milky,milky,dry,shallow well,groundwater,other
0.0,1669,30.85074413,-3.16260381,Lake Tanganyika,400,True,VWC,False,2008,gravity,gravity,other,unknown,soft,good,insufficient,rainwater harvesting,surface,communal standpipe
3000.0,852,35.36216656,-7.62825067,Rufiji,1,True,VWC,True,1992,gravity,gravity,user-group,annually,soft,good,dry,spring,groundwater,communal standpipe
500.0,344,36.42575667,-8.657559800000001,Rufiji,198,True,Water Board,True,2006,gravity,gravity,user-group,monthly,soft,good,enough,river,surface,communal standpipe
50.0,237,38.93397964,-7.09974999,Wami / Ruvu,1,True,Private operator,False,2009,afridev,handpump,commercial,per bucket,salty,salty,enough,machine dbh,groundwater,hand pump
0.0,0,30.7575028,-2.54204907,Lake Victoria,0,True,VWC,False,0,nira/tanira,handpump,user-group,never pay,soft,good,enough,shallow well,groundwater,hand pump
0.0,1615,35.32969128,-4.51662091,Internal,215,True,VWC,True,2003,gravity,gravity,user-group,never pay,soft,good,insufficient,spring,groundwater,communal standpipe
300.0,346,39.48531782,-10.83253492,Ruvuma / Southern Coast,500,True,Water Board,True,1982,submersible,submersible,user-group,monthly,soft,good,seasonal,machine dbh,groundwater,communal standpipe
0.0,0,33.795517600000004,-9.53065042,Lake Nyasa,0,True,VWC,True,0,gravity,gravity,user-group,never pay,soft,good,dry,spring,groundwater,communal standpipe
5000.0,1822,31.3235049,-7.65124882,Lake Rukwa,350,True,VWC,False,1983,india mark ii,handpump,user-group,annually,soft,good,enough,machine dbh,groundwater,hand pump
0.0,0,35.60975649,-6.00004939,Internal,0,True,VWC,False,0,mono,motorpump,commercial,per bucket,soft,good,dry,machine dbh,groundwater,communal standpipe multiple
0.0,1610,29.75769843,-4.63301826,Lake Tanganyika,100,True,VWC,True,2009,gravity,gravity,user-group,unknown,soft,good,enough,spring,groundwater,other
50.0,1171,35.67360204,-10.67526043,Ruvuma / Southern Coast,1500,False,Other,True,2002,gravity,gravity,other,per bucket,soft,good,enough,river,surface,communal standpipe
0.0,0,32.36704778,-8.40020683,Lake Rukwa,0,False,VWC,False,0,other - swn 81,handpump,user-group,never pay,soft,good,insufficient,machine dbh,groundwater,hand pump
0.0,1256,36.71772211,-3.43276804,Pangani,980,False,Water Board,,2000,gravity,gravity,user-group,never pay,soft,good,insufficient,spring,groundwater,communal standpipe
0.0,1271,36.73071947,-3.42071738,Pangani,1230,False,Water Board,,2000,gravity,gravity,user-group,never pay,soft,good,enough,spring,groundwater,communal standpipe
3000.0,393,37.69447135,-11.17140181,Ruvuma / Southern Coast,234,True,VWC,False,1998,swn 80,handpump,user-group,annually,salty,salty,insufficient,machine dbh,groundwater,hand pump
5.0,1333,37.26170283,-3.22998712,Pangani,15,True,Water Board,True,2007,gravity,gravity,user-group,per bucket,soft,good,enough,river,surface,communal standpipe
0.0,0,32.3303273,-4.05769141,Lake Tanganyika,0,,,True,0,other,other,user-group,unknown,soft,good,enough,shallow well,groundwater,other
0.0,273,36.89457803,-7.85238683,Rufiji,250,True,WUA,True,1998,gravity,gravity,user-group,never pay,soft,good,insufficient,river,surface,communal standpipe
0.0,-11,38.97166624,-5.43040027,Pangani,95,True,Private operator,False,1972,other,other,commercial,never pay,salty,salty,insufficient,shallow well,groundwater,other
0.0,0,37.29798510000001,-5.68400714,Wami / Ruvu,1534,True,VWC,False,1989,nira/tanira,handpump,user-group,never pay,salty,salty,insufficient,shallow well,groundwater,hand pump
2000.0,949,37.61386533,-3.78262415,Pangani,48,True,Water Board,True,1973,gravity,gravity,user-group,monthly,soft,good,insufficient,spring,groundwater,communal standpipe multiple
50.0,1497,36.66574806,-3.34032172,Pangani,200,True,VWC,True,2000,gravity,gravity,user-group,per bucket,soft,good,insufficient,spring,groundwater,communal standpipe
0.0,0,33.74592973,-3.0614954,Lake Victoria,0,True,WUG,False,0,nira/tanira,handpump,user-group,on failure,soft,good,enough,shallow well,groundwater,hand pump
0.0,208,36.68623468,-8.15333238,Rufiji,250,True,,True,2007,submersible,submersible,user-group,never pay,soft,good,seasonal,machine dbh,groundwater,communal standpipe
0.0,1613,35.13732171,-9.42074889,Rufiji,70,True,VWC,False,2009,gravity,gravity,user-group,never pay,soft,good,insufficient,spring,groundwater,communal standpipe
0.0,1345,34.94645266,-10.94508465,Lake Nyasa,120,,VWC,False,1994,gravity,gravity,parastatal,unknown,soft,good,enough,spring,groundwater,communal standpipe
0.0,0,30.71306304,-1.33574235,Lake Victoria,0,True,WUG,True,0,gravity,gravity,user-group,never pay,soft,good,enough,spring,groundwater,communal standpipe
0.0,1889,31.44226094,-7.85787608,Lake Tanganyika,1,False,VWC,True,1976,gravity,gravity,user-group,never pay,soft,good,enough,river,surface,communal standpipe
50.0,249,39.62748157,-10.75461663,Ruvuma / Southern Coast,1,True,Water Board,True,2000,submersible,submersible,user-group,per bucket,soft,good,insufficient,machine dbh,groundwater,communal standpipe
0.0,1387,34.95128906,-10.98680812,Ruvuma / Southern Coast,60,,VWC,True,1993,gravity,gravity,user-group,unknown,soft,good,dry,spring,groundwater,communal standpipe
1000.0,1740,35.44288932,-8.09774128,Rufiji,200,True,VWC,True,2004,gravity,gravity,user-group,annually,soft,good,enough,spring,groundwater,communal standpipe
50.0,1309,36.84013435,-6.1943062000000015,Wami / Ruvu,150,True,VWC,True,2005,swn 80,handpump,user-group,per bucket,salty,salty,enough,shallow well,groundwater,hand pump
0.0,1378,34.23540436,-2.96658686,Lake Victoria,500,True,WUG,False,2005,nira/tanira,handpump,user-group,never pay,soft,good,insufficient,shallow well,groundwater,hand pump
0.0,2148,34.51836045,-9.31207574,Lake Nyasa,20,True,VWC,True,1998,gravity,gravity,user-group,on failure,soft,good,enough,spring,groundwater,communal standpipe
0.0,1447,36.83888396,-3.32550075,Pangani,90,True,VWC,True,1998,gravity,gravity,user-group,unknown,soft,good,insufficient,spring,groundwater,communal standpipe
6.0,1279,37.48989428,-3.33275629,Pangani,40,True,Water Board,True,2008,gravity,gravity,user-group,per bucket,soft,good,enough,spring,groundwater,communal standpipe
0.0,1732,29.77689937,-4.43481617,Lake Tanganyika,560,True,Water authority,False,1996,gravity,gravity,user-group,never pay,soft,good,enough,spring,groundwater,improved spring
20.0,978,36.82644615,-3.49753242,Pangani,150,True,VWC,True,1980,gravity,gravity,user-group,per bucket,soft,good,insufficient,spring,groundwater,communal standpipe
2400.0,904,35.17930471,-7.78318392,Rufiji,1,True,VWC,True,2001,gravity,gravity,user-group,annually,soft,good,enough,spring,groundwater,communal standpipe
0.0,385,37.72864883,-7.01455897,Wami / Ruvu,50,True,VWC,True,2004,gravity,gravity,user-group,never pay,soft,good,enough,river,surface,communal standpipe
0.0,0,0.0,-2e-08,Lake Victoria,0,,WUG,False,0,nira/tanira,handpump,user-group,unknown,soft,good,enough,shallow well,groundwater,hand pump
0.0,1371,30.74440417,-3.41629713,Lake Tanganyika,500,True,VWC,False,2006,india mark ii,handpump,user-group,unknown,soft,good,enough,machine dbh,groundwater,hand pump
0.0,0,33.28684476,-4.65384278,Lake Tanganyika,0,False,VWC,False,0,nira/tanira,handpump,user-group,never pay,soft,good,seasonal,shallow well,groundwater,hand pump
500.0,278,37.037909,-7.69329773,Rufiji,150,True,VWC,True,2007,india mark ii,handpump,user-group,monthly,soft,good,enough,shallow well,groundwater,hand pump
5.0,1524,35.61363332,-3.35579788,Internal,200,True,VWC,True,2002,gravity,gravity,user-group,per bucket,soft,good,enough,river,surface,communal standpipe
0.0,1606,35.00052334,-8.68997647,Rufiji,0,True,VWC,True,0,gravity,gravity,user-group,never pay,soft,good,enough,spring,groundwater,communal standpipe
50.0,48,39.09309544,-6.978755499999999,Wami / Ruvu,250,,Parastatal,False,2010,submersible,submersible,parastatal,per bucket,salty abandoned,salty,enough,machine dbh,groundwater,communal standpipe
0.0,805,37.42502028,-5.92825857,Wami / Ruvu,30,True,VWC,True,2009,gravity,gravity,user-group,never pay,soft,good,insufficient,river,surface,communal standpipe
0.0,1338,34.26673046,-1.74947842,Lake Victoria,100,,Other,,2001,afridev,handpump,user-group,never pay,salty,salty,insufficient,shallow well,groundwater,hand pump
0.0,0,33.09498847,-2.49954451,Lake Victoria,0,True,VWC,True,0,other,other,user-group,never pay,soft,good,insufficient,shallow well,groundwater,other
0.0,0,32.55185074,-3.62423093,Lake Victoria,0,True,,True,0,nira/tanira,handpump,user-group,unknown,milky,milky,seasonal,shallow well,groundwater,hand pump
0.0,1128,36.96842101,-3.36536333,Pangani,152,True,VWC,True,1999,gravity,gravity,user-group,unknown,soft,good,insufficient,river,surface,communal standpipe
0.0,0,31.48688668,-2.10118089,Lake Victoria,0,True,VWC,False,0,other - swn 81,handpump,user-group,never pay,soft,good,enough,machine dbh,groundwater,hand pump
0.0,1671,37.58155396,-3.25253336,Pangani,1,True,WUA,True,1960,gravity,gravity,user-group,never pay,soft,good,insufficient,spring,groundwater,communal standpipe
0.0,1710,31.35661014,-8.24666095,Lake Tanganyika,59,True,VWC,False,1991,swn 80,handpump,user-group,never pay,soft,good,enough,machine dbh,groundwater,hand pump
1000.0,896,35.35396713,-10.87045378,Ruvuma / Southern Coast,750,True,VWC,True,1987,gravity,gravity,user-group,monthly,soft,good,enough,river,surface,communal standpipe
500.0,1078,35.78255337,-10.58206564,Lake Nyasa,200,True,WUG,False,1987,swn 80,handpump,user-group,monthly,soft,good,insufficient,shallow well,groundwater,hand pump
0.0,0,33.99315164,-9.49257582,Lake Nyasa,0,True,VWC,True,0,gravity,gravity,user-group,monthly,soft,good,dry,spring,groundwater,communal standpipe
0.0,1714,38.37388783,-4.6360476,Pangani,1,True,VWC,True,1992,other,other,user-group,never pay,soft,good,enough,shallow well,groundwater,other
500.0,801,36.19000967,-10.4422325,Rufiji,1200,True,WUG,False,2003,swn 80,handpump,user-group,monthly,soft,good,insufficient,shallow well,groundwater,hand pump
0.0,0,33.62943688,-8.86047819,Rufiji,0,True,VWC,True,0,gravity,gravity,user-group,annually,soft,good,seasonal,river,surface,communal standpipe
0.0,0,35.79913299,-4.54383276,Internal,0,True,VWC,False,0,gravity,gravity,user-group,never pay,soft,good,enough,spring,groundwater,communal standpipe
500.0,1711,34.69539604,-9.1074323,Rufiji,75,True,WUA,True,1974,gravity,gravity,user-group,monthly,soft,good,enough,river,surface,communal standpipe
0.0,0,33.4425204,-4.3985743,Internal,0,True,Water authority,False,0,nira/tanira,handpump,user-group,never pay,salty,salty,insufficient,shallow well,groundwater,hand pump
0.0,1184,35.86349875,-4.13762791,Internal,5,True,VWC,True,1998,gravity,gravity,user-group,never pay,soft,good,enough,spring,groundwater,communal standpipe
0.0,312,38.51158,-11.15079205,Ruvuma / Southern Coast,45,True,Parastatal,True,2011,gravity,gravity,parastatal,never pay,soft,good,seasonal,rainwater harvesting,surface,other
0.0,1603,35.51990895,-4.24087753,Internal,225,True,VWC,True,2008,gravity,gravity,user-group,never pay,soft,good,enough,spring,groundwater,communal standpipe
0.0,454,34.61712373,-10.52388405,Lake Nyasa,60,True,VWC,False,2007,nira/tanira,handpump,user-group,never pay,soft,good,enough,machine dbh,groundwater,hand pump
0.0,0,33.58356427,-9.20171797,Lake Nyasa,0,True,VWC,,0,gravity,gravity,user-group,never pay,soft,good,insufficient,spring,groundwater,communal standpipe
1000.0,2163,34.59970035,-9.59541619,Lake Nyasa,40,True,VWC,False,2000,gravity,gravity,user-group,annually,soft,good,enough,spring,groundwater,communal standpipe
0.0,0,33.12578632,-5.11763578,Lake Tanganyika,0,,VWC,True,0,other,other,user-group,unknown,milky,milky,insufficient,shallow well,groundwater,other
10.0,1435,37.16966061,-3.22313344,Pangani,90,True,Water Board,True,1999,gravity,gravity,user-group,per bucket,soft,good,enough,spring,groundwater,communal standpipe
250.0,1420,30.09100628,-4.33033223,Lake Tanganyika,740,True,Water authority,True,2003,gravity,gravity,user-group,monthly,soft,good,enough,spring,groundwater,improved spring
0.0,340,39.4834632,-10.60527212,Ruvuma / Southern Coast,300,True,Water Board,True,1982,submersible,submersible,user-group,never pay,soft,good,dry,machine dbh,groundwater,communal standpipe multiple
0.0,0,33.83510364,-9.15950804,Lake Nyasa,0,True,VWC,,0,gravity,gravity,user-group,never pay,soft,good,enough,river,surface,communal standpipe
0.0,1421,30.79308725,-3.30551978,Lake Tanganyika,250,True,VWC,False,2004,gravity,gravity,user-group,unknown,soft,good,insufficient,spring,groundwater,improved spring
0.0,1586,37.30457582,-3.2077972000000003,Pangani,1,False,VWC,True,1976,gravity,gravity,user-group,never pay,soft,good,insufficient,spring,groundwater,other
0.0,0,32.97773891,-8.92424207,Lake Rukwa,0,False,VWC,False,0,other,other,user-group,on failure,soft,good,seasonal,shallow well,groundwater,other
1000.0,473,34.81890084,-11.30754173,Lake Nyasa,50,True,VWC,True,1992,gravity,gravity,user-group,annually,soft,good,enough,spring,groundwater,communal standpipe
0.0,0,33.38446781,-3.09035559,Lake Victoria,0,True,VWC,True,0,swn 80,handpump,user-group,never pay,soft,good,enough,shallow well,groundwater,hand pump
0.0,-10,39.32942512,-7.32006894,Wami / Ruvu,100,True,VWC,False,2006,swn 80,handpump,user-group,never pay,soft,good,insufficient,shallow well,groundwater,hand pump
0.0,0,34.08785194,-3.0740994,Lake Victoria,0,True,WUG,False,0,swn 80,handpump,user-group,other,soft,good,insufficient,shallow well,groundwater,hand pump
500.0,261,36.70245793,-8.11054284,Rufiji,400,True,,True,1982,swn 80,handpump,user-group,monthly,soft,good,insufficient,shallow well,groundwater,hand pump
0.0,12,39.16223,-7.30691331,Rufiji,110,True,VWC,False,2003,other,other,user-group,never pay,soft,good,enough,shallow well,groundwater,other
1000.0,0,37.18599244,-6.21378795,Wami / Ruvu,1510,True,VWC,True,2001,nira/tanira,handpump,user-group,annually,salty,salty,insufficient,shallow well,groundwater,hand pump
200.0,557,36.28072073,-7.35272973,Rufiji,270,True,VWC,True,1984,other,other,user-group,monthly,soft,good,enough,river,surface,other
